ID,Task Name,Description,Category,Phase,Week,Priority,Status
BUG-13,Rename migration prefix,Rename supabase/migrations/002_fix_rls_recursion.sql to 003_fix_rls_recursion.sql to fix ambiguous apply order,Database,1 - Fix Foundations,1,Critical,Pending
BUG-1,Create event_registrations table,"Add missing event_registrations table: id, event_id→events, user_id→profiles, registered_at, UNIQUE(event_id+user_id). Include in Migration 004",Database,1 - Fix Foundations,1,Critical,Pending
BUG-2,Create content_completions table,"Add missing content_completions table: id, content_id→academy_content, user_id→profiles, completed_at, UNIQUE(content_id+user_id). Include in Migration 004",Database,1 - Fix Foundations,1,Critical,Pending
BUG-4,Create case_code_seq and next_case_code() RPC,Create PostgreSQL sequence case_code_seq and next_case_code() function in Migration 004. App code must call supabase.rpc('next_case_code') instead of Math.random(),Database,1 - Fix Foundations,1,Critical,Pending
DB-1,Add created_by column to profiles,"ALTER TABLE profiles ADD COLUMN created_by UUID REFERENCES profiles(id) — tracks which COMMERCIAL created a sub-user. Include in Migration 004",Database,1 - Fix Foundations,1,High,Pending
DB-3,Create suggestions table,"CREATE TABLE suggestions: id, user_id→profiles CASCADE, subject, content, status (pending/reviewed/resolved), admin_reply, timestamps. Include in Migration 004",Database,1 - Fix Foundations,1,High,Pending
DB-4,Add RLS policies for suggestions table,"Partners: INSERT own + SELECT own. ADMIN/COMMERCIAL: SELECT all + UPDATE status + admin_reply. Include in Migration 004",Database,1 - Fix Foundations,1,High,Pending
DB-6,Create comments table,"CREATE TABLE comments: id, content, author_id→profiles CASCADE, entity_type, entity_id, parent_id→comments CASCADE, mentions UUID[], is_edited, edited_at, timestamps. Include in Migration 004",Database,1 - Fix Foundations,1,High,Pending
DB-7,Add RLS policies and indexes for comments table,"RLS: any auth user SELECT; auth users INSERT own; author UPDATE/DELETE own; ADMIN DELETE any. Indexes: idx_comments_entity(entity_type+entity_id) + idx_comments_author(author_id)",Database,1 - Fix Foundations,1,High,Pending
CROSS-1,Apply Migration 004,"Apply supabase/migrations/004_missing_tables.sql — contains: event_registrations, content_completions, case_code_seq, next_case_code(), suggestions, comments, created_by column",Database,1 - Fix Foundations,1,Critical,Pending
BUG-3,Remove duplicate case_history insert,"In src/lib/data/admin.ts updateCase(): remove the manual INSERT INTO case_history — the log_case_status_change() DB trigger already handles this, causing duplicate rows per status change",Bug Fix,1 - Fix Foundations,1,Critical,Pending
BUG-7,Fix accessRequests.ts inline role check,"Replace all manual role checks in src/lib/data/accessRequests.ts with requireRole(['ADMIN', 'COMMERCIAL']) from src/lib/auth/guards.ts",Bug Fix,1 - Fix Foundations,1,Critical,Pending
BUG-9,Create notifications/page.tsx,"Create src/app/[locale]/(dashboard)/notifications/page.tsx — the folder and error/loading files exist but page.tsx is missing, causing the notification bell link to render a blank page",Bug Fix,1 - Fix Foundations,1,High,Pending
BUG-11,Fix hardcoded hex colors in CaseFilters,"In src/components/cases/CaseFilters.tsx: replace all hardcoded hex values with CSS variables (var(--primary) etc.) to support dark/light themes",Bug Fix,1 - Fix Foundations,1,Low,Pending
BUG-12,Add revalidatePath to createEvent(),"In src/lib/data/events.ts createEvent(): add revalidatePath('/[locale]/(dashboard)/events') call after successful insert — currently missing causing stale UI",Bug Fix,1 - Fix Foundations,1,High,Pending
BUG-14,Fix admin.ts inline role check,"Replace the local requireAdminOrCommercial() function defined in src/lib/data/admin.ts with the shared requireRole(['ADMIN', 'COMMERCIAL']) imported from src/lib/auth/guards.ts",Bug Fix,1 - Fix Foundations,1,Critical,Pending
ENV-1,Add ADMIN_NOTIFICATION_EMAIL env var,"Add ADMIN_NOTIFICATION_EMAIL to .env.local and .env.example — the email address (Jiani) that receives all admin alert emails. Also start Resend DNS verification for harlock.it domain",Config,1 - Fix Foundations,1,High,Pending
ENV-2,Add PARTNER_BULK_EMAIL_ENABLED env var,Add PARTNER_BULK_EMAIL_ENABLED=true/false flag to .env.local and .env.example — controls whether publish actions trigger batch emails to all partners,Config,1 - Fix Foundations,1,Medium,Pending
DB-2,Update database.types.ts,"Regenerate or manually update src/types/database.types.ts to include: created_by on profiles, suggestions table, comments table row/insert/update types",Database,2 - Core Features,2,High,Pending
FEAT-1,Implement case document upload flow,"Implement the full case document upload: FileUpload UI on case detail page, server action to upload file to case-documents Supabase Storage bucket and INSERT into case_documents table",Feature,2 - Core Features,2,High,Pending
FEAT-2,Display case history timeline,"Ensure CaseTimeline component displays all case_history rows fetched by getMyCase(id) — verify trigger-written rows show correct changed_by and timestamps",Feature,2 - Core Features,2,High,Pending
FEAT-3,Implement event registration server action,"In src/lib/data/events.ts: implement registerForEvent(eventId) — check is_published, check future date, enforce capacity limit, INSERT into event_registrations, call notifyEventRegistration(), revalidatePath",Feature,2 - Core Features,2,Critical,Pending
FEAT-4,Implement event unregistration server action,"In src/lib/data/events.ts: implement unregisterFromEvent(eventId) — DELETE from event_registrations, revalidatePath",Feature,2 - Core Features,2,High,Pending
FEAT-5,Add Register/Unregister button to event detail page,"On event detail page: show 'Register' button if not registered and seats available, 'Unregister' if registered, 'Full' badge if at capacity. Call registerForEvent/unregisterFromEvent",Feature,2 - Core Features,2,Critical,Pending
FEAT-6,Implement academy completion tracking server action,"In src/lib/data/academy.ts: implement markContentComplete(contentId) — UPSERT into content_completions (content_id, user_id); UNIQUE constraint prevents duplicates; revalidatePath",Feature,2 - Core Features,2,High,Pending
FEAT-7,Add completion UI to academy pages,"On academy detail page: show 'Mark as Complete' button + completion badge. On academy list: show green checkmark on completed items. Call markContentComplete() and getMyCompletions()",Feature,2 - Core Features,2,High,Pending
BUG-5,Fix view count race condition,"In academy.ts getAcademyItem() and blog.ts getBlogPost(): replace read-then-write JS view_count increment with atomic supabase.rpc('increment_view', { tbl, row_id }) call",Bug Fix,2 - Core Features,2,High,Pending
BUG-6,Fix activity feed N+1 queries,"In src/lib/data/dashboard.ts: replace the 5 separate Promise.all queries with a single PostgreSQL UNION ALL view or RPC. Create DB view: cases + events + documents + blog_posts + academy_content ordered by created_at DESC",Bug Fix,2 - Core Features,2,High,Pending
TPL-1,Create access-request-rejection.ts template,"Create src/lib/email/templates/access-request-rejection.ts — HTML email: rejection notice to applicant including review_notes if provided, branded layout with footer",Email,3 - Emails & Advanced,3,High,Pending
TPL-2,Create access-request-received.ts template,"Create src/lib/email/templates/access-request-received.ts — HTML email: acknowledgement to applicant ('We received your request, we will review it shortly')",Email,3 - Emails & Advanced,3,High,Pending
TPL-3,Create case-status-update.ts template,"Create src/lib/email/templates/case-status-update.ts — HTML email: tells partner their case changed status, shows old→new status, links to case page",Email,3 - Emails & Advanced,3,High,Pending
TPL-4,Create case-document-added.ts template,"Create src/lib/email/templates/case-document-added.ts — HTML email: tells partner a new document was added to their case with document title and link",Email,3 - Emails & Advanced,3,Medium,Pending
TPL-5,Create event-published.ts template,"Create src/lib/email/templates/event-published.ts — HTML email: announces new event to all partners with date, type, location, and registration link",Email,3 - Emails & Advanced,3,High,Pending
TPL-6,Create user-invite.ts template,"Create src/lib/email/templates/user-invite.ts — HTML email: sent when COMMERCIAL creates sub-user; includes password setup link and login URL",Email,3 - Emails & Advanced,3,High,Pending
TPL-7,Create suggestion-received.ts template,"Create src/lib/email/templates/suggestion-received.ts — HTML email: confirmation to partner that their suggestion was received and is under review",Email,3 - Emails & Advanced,3,Medium,Pending
TPL-8,Create comment-mention.ts template,"Create src/lib/email/templates/comment-mention.ts — HTML email: notifies user they were @mentioned in a comment; includes excerpt and link to entity",Email,3 - Emails & Advanced,3,Medium,Pending
EMAIL-1,Create sendAccessRequestReceivedEmail(),"Add sendAccessRequestReceivedEmail(to, firstName, companyName) to src/lib/email/index.ts — uses TPL-2 template",Email,3 - Emails & Advanced,3,High,Pending
EMAIL-2,Create sendAccessRequestRejectionEmail(),"Add sendAccessRequestRejectionEmail(to, firstName, companyName, notes?) to src/lib/email/index.ts — uses TPL-1 template",Email,3 - Emails & Advanced,3,High,Pending
EMAIL-3,Create sendAdminAlertEmail(),"Add sendAdminAlertEmail(subject, body, actionUrl?) to src/lib/email/index.ts — sends to ADMIN_NOTIFICATION_EMAIL; generic enough to reuse for all admin alerts",Email,3 - Emails & Advanced,3,High,Pending
EMAIL-4,Create sendCaseStatusUpdateEmail(),"Add sendCaseStatusUpdateEmail(to, firstName, caseCode, oldStatus, newStatus, caseUrl) to src/lib/email/index.ts — uses TPL-3 template",Email,3 - Emails & Advanced,3,High,Pending
EMAIL-5,Create sendCaseDocumentAddedEmail(),"Add sendCaseDocumentAddedEmail(to, firstName, caseCode, documentTitle, caseUrl) to src/lib/email/index.ts — uses TPL-4 template",Email,3 - Emails & Advanced,3,Medium,Pending
EMAIL-6,Create sendEventPublishedEmail(),"Add sendEventPublishedEmail(recipients[], event) to src/lib/email/index.ts — batch send to all active partners; uses TPL-5 template; respects PARTNER_BULK_EMAIL_ENABLED flag",Email,3 - Emails & Advanced,3,High,Pending
EMAIL-7,Create sendUserInviteEmail(),"Add sendUserInviteEmail(to, firstName, setupUrl) to src/lib/email/index.ts — uses TPL-6 template",Email,3 - Emails & Advanced,3,High,Pending
EMAIL-8,Create sendCommentMentionEmail(),"Add sendCommentMentionEmail(to, firstName, mentionedBy, excerpt, entityUrl) to src/lib/email/index.ts — uses TPL-8 template",Email,3 - Emails & Advanced,3,Medium,Pending
WIRE-1,Wire submitAccessRequest() → emails,"In accessRequests.ts submitAccessRequest(): after INSERT call sendAccessRequestReceivedEmail() to applicant AND sendAdminAlertEmail() to Jiani",Email,3 - Emails & Advanced,3,High,Partial
WIRE-2,Wire rejectAccessRequest() → rejection email,"In accessRequests.ts rejectAccessRequest(): after status update call sendAccessRequestRejectionEmail(applicant_email, name, company, review_notes)",Email,3 - Emails & Advanced,3,High,Pending
WIRE-3,Wire approveAccessRequest() → welcome email,approveAccessRequest() already calls sendPartnerWelcomeEmail() — no action needed,Email,3 - Emails & Advanced,3,High,Done
WIRE-4,Wire updateCaseStatus() → case update email,"In cases.ts updateCaseStatus(): after status change fetch partner email and call sendCaseStatusUpdateEmail(partner_email, firstName, caseCode, oldStatus, newStatus, url)",Email,3 - Emails & Advanced,3,High,Pending
WIRE-5,Wire createCaseDocument() → document added email,"In admin.ts createCaseDocument(): after upload call sendCaseDocumentAddedEmail(partner_email, firstName, caseCode, documentTitle, caseUrl)",Email,3 - Emails & Advanced,3,Medium,Pending
WIRE-6,Wire admin createEvent() → email blast,"In admin.ts createEvent(): if is_published=true fetch all active partner emails and call sendEventPublishedEmail(recipients, event) after insert",Email,3 - Emails & Advanced,3,High,Pending
WIRE-7,Wire admin updateEvent() → email blast,"In admin.ts updateEvent(): if flipping is_published from false→true fetch all active partner emails and call sendEventPublishedEmail(recipients, event)",Email,3 - Emails & Advanced,3,High,Pending
PREF-1,Set up email preference schema,"Use profiles.notification_preferences JSONB column (already exists) with keys: email_case_updates, email_events, email_content, email_mentions — document the schema",Email,3 - Emails & Advanced,3,Medium,Pending
PREF-2,Add email preference toggles to settings page,"Add per-category email opt-out toggle switches on /{locale}/settings page — calls updateNotificationPreferences() server action in src/lib/data/profiles.ts",Email,3 - Emails & Advanced,3,Medium,Pending
PREF-3,Check preferences before sending emails,"In each sendX() function: fetch recipient profile and check the relevant notification_preferences key before calling Resend API",Email,3 - Emails & Advanced,3,Medium,Pending
BUG-10,Replace polling with Supabase Realtime,"In src/hooks/useNotifications.ts: replace setInterval(fn, 30000) with supabase.channel('notifications').on('postgres_changes', { filter: 'user_id=eq.userId' }) subscription",Bug Fix,3 - Emails & Advanced,3,Medium,Pending
ACT-1,Create createSubUser() server action,"In src/lib/data/admin.ts: createSubUser({ email, firstName, lastName, role?, notes? }) — requireRole check, createUser via service client, upsert profile, generate recovery link, sendUserInviteEmail, revalidatePath",Server Action,3 - Emails & Advanced,3,High,Pending
ACT-2,Create getSubUsers() server action,Create getSubUsers(leaderId?) — returns PARTNER profiles with assigned_commercial_id matching leaderId or all profiles if ADMIN,Server Action,3 - Emails & Advanced,3,Medium,Pending
ACT-3,Create deactivateSubUser() server action,"Create deactivateSubUser(userId) — sets profiles.is_active=false; COMMERCIAL can only deactivate own sub-users; uses service client for auth.admin.updateUserById",Server Action,3 - Emails & Advanced,3,Medium,Pending
ACT-4,Create reactivateSubUser() server action,Create reactivateSubUser(userId) — reverses deactivation by setting is_active=true and removing auth ban,Server Action,3 - Emails & Advanced,3,Medium,Pending
ACT-5,Create resendInviteEmail() server action,"Create resendInviteEmail(userId) — calls auth.admin.generateLink({ type: 'recovery', email }) and re-sends sendUserInviteEmail()",Server Action,3 - Emails & Advanced,3,Medium,Pending
UI-1,Add Create User button to /admin/partners,"Add 'Create User' button to the admin partners page header — visible to both ADMIN and COMMERCIAL roles; opens CreateUserModal",UI,3 - Emails & Advanced,3,High,Pending
UI-2,Create CreateUserModal.tsx component,"Create src/app/[locale]/(admin)/admin/partners/CreateUserModal.tsx — form: Email, First Name, Last Name, Role dropdown (PARTNER/COMMERCIAL for ADMIN only), Notes; calls createSubUser()",UI,3 - Emails & Advanced,3,High,Pending
UI-3,Add Resend Invite action to partners table,Add 'Resend Invite' action in partners table row menu for users whose last_sign_in_at is null (never logged in),UI,3 - Emails & Advanced,3,Medium,Pending
UI-4,Add Deactivate/Reactivate toggle to partner detail,Add active/inactive toggle in partner detail view — only enabled if caller is ADMIN or the creator (created_by) of that account,UI,3 - Emails & Advanced,3,Medium,Pending
UI-5,Add My Team section to COMMERCIAL dashboard,"Add 'My Team' section on COMMERCIAL dashboard (or /dashboard/team page) listing all partners with assigned_commercial_id = currentUser.id",UI,3 - Emails & Advanced,3,Medium,Pending
UI-6,Add Invite Partner button on Team page,"On Team page: 'Invite Partner' button opens CreateUserModal pre-filling assigned_commercial_id and restricting role to PARTNER",UI,3 - Emails & Advanced,3,Medium,Pending
DB-5,Update database.types.ts with suggestions,Regenerate or update src/types/database.types.ts to include suggestions table Row/Insert/Update types,Database,3 - Emails & Advanced,3,Medium,Pending
ACT-6,Create submitSuggestion() server action,"In src/lib/data/suggestions.ts: submitSuggestion({ subject, content }) — requireAuth, INSERT into suggestions, sendAdminAlertEmail to Jiani, sendSuggestionReceivedEmail to partner, revalidatePath",Server Action,3 - Emails & Advanced,3,High,Pending
ACT-7,Create getMySuggestions() server action,"Create getMySuggestions() — SELECT from suggestions WHERE user_id = auth.uid() ordered by created_at DESC; returns id, subject, status, admin_reply, dates",Server Action,3 - Emails & Advanced,3,Medium,Pending
ACT-8,Create getAllSuggestions() server action,"Create getAllSuggestions({ status?, search?, page? }) — requireRole ADMIN/COMMERCIAL; paginated list of all suggestions with submitter profile info",Server Action,3 - Emails & Advanced,3,Medium,Pending
ACT-9,Create updateSuggestionStatus() server action,"Create updateSuggestionStatus(id, status, adminReply?) — requireRole ADMIN/COMMERCIAL; UPDATE status and admin_reply; if adminReply provided send notifySuggestionReply + email to partner",Server Action,3 - Emails & Advanced,3,Medium,Pending
UI-7,Add floating Send Feedback button,"Add a floating 'Send Feedback' button (bottom-right, fixed position) visible on all dashboard pages — opens SuggestionModal",UI,3 - Emails & Advanced,3,High,Pending
UI-8,Create SuggestionModal.tsx component,"Create src/components/dashboard/SuggestionModal.tsx — Subject input + Message textarea + Submit button with loading state; calls submitSuggestion(); shows success confirmation",UI,3 - Emails & Advanced,3,High,Pending
UI-9,Create /dashboard/suggestions page,Create partner-facing suggestions list page at /{locale}/suggestions showing their past submissions with status badges and admin reply if available,UI,3 - Emails & Advanced,3,Medium,Pending
UI-10,Create /admin/suggestions page,"Create admin suggestions management page at /{locale}/admin/suggestions — table with filters by status, date range, partner name, subject",UI,3 - Emails & Advanced,3,Medium,Pending
UI-11,Create suggestion detail modal for admin,"Admin modal: full suggestion content + status dropdown (pending→reviewed→resolved) + admin reply textarea + Save button. Calls updateSuggestionStatus()",UI,3 - Emails & Advanced,3,Medium,Pending
DB-8,Update database.types.ts with comments,Regenerate or update src/types/database.types.ts to include comments table Row/Insert/Update types,Database,3 - Emails & Advanced,3,Medium,Pending
ACT-10,Create getComments() server action,"Create getComments(entityType, entityId, page?) in src/lib/data/comments.ts — paginated, ordered by created_at ASC, joins author profile (first_name, last_name, company_name, logo_url)",Server Action,3 - Emails & Advanced,3,High,Pending
ACT-11,Create getCommentCount() server action,"Create getCommentCount(entityType, entityId) — COUNT query returning number of comments for comment count badges on content cards",Server Action,3 - Emails & Advanced,3,Medium,Pending
ACT-12,Create createComment() server action,"Create createComment({ entityType, entityId, content, parentId?, mentions[] }) — requireAuth; INSERT comment; for each mention call notifyUserMentioned + sendCommentMentionEmail; revalidatePath",Server Action,3 - Emails & Advanced,3,High,Pending
ACT-13,Create updateComment() server action,"Create updateComment(id, content) — author only via RLS; UPDATE content, is_edited=true, edited_at=NOW()",Server Action,3 - Emails & Advanced,3,Medium,Pending
ACT-14,Create deleteComment() with soft/hard delete,"Create deleteComment(id) — author or ADMIN; soft-delete (content='[deleted]') if comment has child replies; hard-delete if leaf node",Server Action,3 - Emails & Advanced,3,Medium,Pending
ACT-15,Add notifyUserMentioned() to notificationService.ts,"Add notifyUserMentioned({ commentId, entityType, entityId, mentionedUserId, mentionedByName, excerpt }) to src/lib/services/notificationService.ts using service client",Server Action,3 - Emails & Advanced,3,High,Pending
UI-12,Create MentionInput.tsx component,"Create src/components/comments/MentionInput.tsx — textarea detecting @ prefix; debounced search (300ms); autocomplete dropdown (avatar + name + company); stores @[userId] tokens in content",UI,3 - Emails & Advanced,3,High,Pending
UI-13,Create CommentItem.tsx component,"Create src/components/comments/CommentItem.tsx — renders: author avatar, name, company, relative timestamp, parsed content (mentions as highlighted chips), edited badge, Edit/Delete for own/admin",UI,3 - Emails & Advanced,3,High,Pending
UI-14,Create CommentSection.tsx component,"Create src/components/comments/CommentSection.tsx — composes CommentItem list + MentionInput form + pagination; accepts entityType and entityId props",UI,3 - Emails & Advanced,3,High,Pending
UI-15,Create users search API route for mentions,"Create src/app/api/users/search/route.ts — GET ?q= handler; returns matching profiles (id, full name, company_name, logo_url) for mention autocomplete; requires auth session",UI,3 - Emails & Advanced,3,High,Pending
UI-16,Add Comments tab to admin content detail views,"Add a Comments tab in admin views for cases, blog posts, events, and academy content — lists all comments for that entity with a Delete button per comment (admin moderation)",UI,3 - Emails & Advanced,3,Medium,Pending
INT-1,Integrate CommentSection into case detail page,"Import and render <CommentSection entityType='case' entityId={caseId} /> at the bottom of the case detail page",Integration,3 - Emails & Advanced,3,High,Pending
INT-2,Integrate CommentSection into blog post detail page,"Import and render <CommentSection entityType='blog_post' entityId={postId} /> at the bottom of the blog post detail page",Integration,3 - Emails & Advanced,3,High,Pending
INT-3,Integrate CommentSection into event detail page,"Import and render <CommentSection entityType='event' entityId={eventId} /> at the bottom of the event detail page",Integration,3 - Emails & Advanced,3,High,Pending
INT-4,Integrate CommentSection into academy content detail page,"Import and render <CommentSection entityType='academy_content' entityId={contentId} /> at the bottom of the academy content detail page",Integration,3 - Emails & Advanced,3,High,Pending
CROSS-2,Add new NotificationType values,"Add 'mention' and 'suggestion_reply' to NotificationType union in src/lib/services/notificationService.ts and src/lib/validators/index.ts",Cross-cutting,3 - Emails & Advanced,3,High,Pending
CROSS-3,Add i18n keys for all new features,"Add translation keys for: suggestions UI, comments UI, @mentions, sub-user creation to messages/en.json, messages/it.json, and messages/fr.json simultaneously",Cross-cutting,3 - Emails & Advanced,3,High,Pending
CROSS-4,Update project documentation,Update README.md with Feature 2 (sub-users) / Feature 3 (suggestions) / Feature 4 (comments + @mentions) descriptions,Cross-cutting,3 - Emails & Advanced,3,Low,Pending
CROSS-5,Document new environment variables,"Add ADMIN_NOTIFICATION_EMAIL and PARTNER_BULK_EMAIL_ENABLED to the env var reference in docs and CLAUDE.md",Cross-cutting,3 - Emails & Advanced,3,Medium,Pending
I18N-1,Complete Italian translations (it.json),Review and complete all missing/partial keys in messages/it.json — every key present in en.json must have an Italian equivalent,i18n,4 - Launch,4,High,Pending
I18N-2,Complete French translations (fr.json),Review and complete all missing/partial keys in messages/fr.json — every key present in en.json must have a French equivalent,i18n,4 - Launch,4,High,Pending
SEED-1,Update seed script for all new tables,"Update scripts/seed.ts to seed: suggestions (3 rows), comments (10 rows across entities), event_registrations (per partner), content_completions (per partner)",Data,4 - Launch,4,Medium,Pending
SEED-2,Run seed and verify all data,"Run npm run seed against dev Supabase — verify all tables populate without FK or RLS errors; confirm data appears correctly in the UI",Data,4 - Launch,4,Medium,Pending
SEC-1,Security audit — verify no keys exposed to browser,"Check that SUPABASE_SERVICE_ROLE_KEY is not in any NEXT_PUBLIC_* variable; verify service client is only used in notificationService.ts and accessRequests.ts",Security,4 - Launch,4,Critical,Pending
DEPLOY-1,Apply all migrations to production Supabase,"Run supabase db push on production project — apply 001_initial_schema, 002_access_requests, 003_fix_rls_recursion, 003_schema_fixes, 004_missing_tables in order",Deployment,4 - Launch,4,Critical,Pending
DEPLOY-2,Enable Realtime on notifications table,"In Supabase dashboard: Table Editor → Replication → enable Realtime on the notifications table so useNotifications Realtime subscription works in production",Deployment,4 - Launch,4,Critical,Pending
DEPLOY-3,Create all 6 storage buckets,"Create in Supabase dashboard: avatars (public read), case-documents (signed URLs), academy-content (signed URLs), documents (signed URLs), blog-images (public), event-images (public)",Deployment,4 - Launch,4,Critical,Pending
DEPLOY-4,Verify Resend domain DNS,"Confirm harlock.it domain is DNS-verified in Resend dashboard and FROM_EMAIL env var is set to a verified address — DNS can take 48h so start in Week 1",Deployment,4 - Launch,4,Critical,Pending
DEPLOY-5,Set all env vars in Vercel dashboard,"Set in Vercel production: SUPABASE_SERVICE_ROLE_KEY, SUPABASE_PROJECT_ID, RESEND_API_KEY, FROM_EMAIL, ADMIN_NOTIFICATION_EMAIL, PARTNER_BULK_EMAIL_ENABLED, NEXT_PUBLIC_* vars",Deployment,4 - Launch,4,Critical,Pending
DEPLOY-6,Run npm run build with no errors,Run npm run build locally — confirm TypeScript compiles with zero errors before deploying to production,Deployment,4 - Launch,4,Critical,Pending
DEPLOY-7,Run npm run lint with no errors,Run npm run lint — fix all ESLint errors flagged by next/core-web-vitals and next/typescript rules before deployment,Deployment,4 - Launch,4,High,Pending
QA-1,End-to-end test as each user role,"Login as ADMIN + COMMERCIAL + PARTNER; complete core flows: submit case, change status, register for event, mark academy complete, download document, submit suggestion",QA,4 - Launch,4,Critical,Pending
QA-2,Test all email flows end-to-end,"Trigger and confirm email delivery for: access request received/rejected, case status update, event published blast, user invite. Check content and links are correct",QA,4 - Launch,4,Critical,Pending
QA-3,Mobile responsive testing,"Test all pages on < 768px viewport — verify bottom navigation, touch targets, card layouts, and forms render and function correctly on mobile",QA,4 - Launch,4,High,Pending
